epoch,step,train_loss,train_loss_kl,train_loss_recon,val_rank_ic
0,1978,,,,0.020944425836205482
0,1978,1.373092532157898,0.0032213483937084675,1.3698692321777344,
1,3957,,,,0.020328830927610397
1,3957,1.3641730546951294,0.002550408011302352,1.3616247177124023,
2,5936,,,,0.009153156541287899
2,5936,1.3614152669906616,0.0038050564471632242,1.357610821723938,
3,7915,,,,0.019851040095090866
3,7915,1.3592627048492432,0.004445972386747599,1.3548157215118408,
4,9894,,,,0.01632612757384777
4,9894,1.3580925464630127,0.004841109737753868,1.35325288772583,
5,11873,,,,-0.0007171537145040929
5,11873,1.357049822807312,0.005092069040983915,1.3519598245620728,
6,13852,,,,0.0029884770046919584
6,13852,1.3564051389694214,0.005280872341245413,1.351125717163086,
7,15831,,,,-0.004994560964405537
7,15831,1.3552882671356201,0.005559089593589306,1.3497294187545776,
8,17810,,,,0.009009992703795433
8,17810,1.3541184663772583,0.005751795135438442,1.3483673334121704,
9,19789,,,,0.01637592539191246
9,19789,1.3535289764404297,0.006006661802530289,1.3475226163864136,
